instance_id,gold_pass,total_cost_usd,tokens_per_edit,loop_count,model_family,_n_edits,_n_reads,_n_bash,_n_errors,_n_messages,_est_tokens
twisted__twisted-12326,0,0.041734,5323.2,62,qwen3-30b,7,19,32,4,125,37262
fsspec__filesystem_spec-926,1,0.032083,3580.7,45,qwen3-30b,8,8,24,2,91,28646
PennyLaneAI__pennylane-5860,1,0.03412,2176.0,63,qwen3-30b,14,17,27,2,127,30464
twisted__twisted-11979,0,0.046069,3739.3,100,qwen3-30b,11,32,50,7,201,41133
nipype__pydra-186,0,0.067846,4326.9,100,qwen3-30b,14,25,50,2,201,60577
NeuralEnsemble__python-neo-454,0,0.050813,6481.3,46,qwen3-30b,7,12,23,0,93,45369
cta-observatory__pyirf-240,0,0.048113,3579.9,60,qwen3-30b,12,9,33,1,121,42958
christiansandberg__canopen-446,1,0.046441,5183.1,48,qwen3-30b,8,15,21,2,97,41465
iterative__dvc-3725,1,0.067518,4018.9,71,qwen3-30b,15,16,34,6,143,60284
aiogram__aiogram-661,1,0.027885,6224.2,47,qwen3-30b,4,15,24,3,95,24897
python-pillow__Pillow-6792,1,0.048785,7259.7,53,qwen3-30b,6,13,30,5,107,43558
skypyproject__skypy-301,0,0.065256,3641.5,74,qwen3-30b,16,14,40,2,149,58264
onicagroup__runway-2013,1,0.057469,7330.3,43,qwen3-30b,7,9,23,0,87,51312
ucfopen__canvasapi-65,0,0.041994,3408.6,64,qwen3-30b,11,17,32,1,129,37494
encode__httpx-2523,0,0.041747,6212.3,64,qwen3-30b,6,14,40,2,129,37274
stravalib__stravalib-336,1,0.039054,5811.6,42,qwen3-30b,6,8,25,0,85,34870
tobymao__sqlglot-3720,0,0.07488,4775.5,100,qwen3-30b,14,19,64,1,201,66857
terrapower__armi-1117,0,0.050736,5662.5,44,qwen3-30b,8,14,17,2,89,45300
encode__starlette-1395,0,0.068147,15211.3,48,qwen3-30b,4,11,29,0,97,60845
elastic__elasticsearch-py-1117,0,0.035794,7989.6,32,qwen3-30b,4,8,16,0,65,31958
cwacek__python-jsonschema-objects-190,1,0.058818,2019.8,82,qwen3-30b,26,19,34,10,165,52516
ICB-DCM__pyPESTO-676,0,0.061648,6880.4,53,qwen3-30b,8,16,23,4,107,55043
networkx__networkx-4241,0,0.049396,7350.6,48,qwen3-30b,6,10,28,0,97,44104
vitalik__django-ninja-237,1,0.083129,4948.1,82,qwen3-30b,15,20,44,5,165,74222
scikit-hep__cabinetry-396,1,0.05602,5001.8,50,qwen3-30b,10,11,26,12,101,50018
warabanshi__rhi-34,0,0.053289,5947.5,51,qwen3-30b,8,16,24,0,103,47580
bugsnag__bugsnag-python-188,1,0.03703,3673.6,45,qwen3-30b,9,8,25,4,91,33062
matchms__matchms-583,1,0.063499,5154.2,58,qwen3-30b,11,15,27,14,117,56696
pytorch__ignite-1370,0,0.041486,2469.4,87,qwen3-30b,15,26,36,13,175,37041
planetlabs__planet-client-python-407,0,0.096864,12355.1,56,qwen3-30b,7,13,34,0,113,86486
numba__numba-5356,1,0.0399,4453.1,42,qwen3-30b,8,10,21,3,85,35625
dask__dask-4042,1,0.036232,2021.9,75,qwen3-30b,16,21,34,3,151,32350
vertexproject__synapse-350,0,0.028531,8491.5,67,qwen3-30b,3,26,28,1,135,25474
couler-proj__couler-89,1,0.062721,3294.2,67,qwen3-30b,17,18,26,1,135,56001
ncclient__ncclient-404,1,0.027603,4929.1,42,qwen3-30b,5,10,24,2,85,24646
scipp__scippnexus-106,0,0.067334,7515.0,52,qwen3-30b,8,17,23,3,105,60120
jiaaro__pydub-205,0,0.032806,4881.8,50,qwen3-30b,6,13,27,1,101,29291
Textualize__textual-3409,1,0.078269,4991.7,97,qwen3-30b,14,17,62,10,195,69883
asottile__setup-cfg-fmt-48,1,0.048492,7216.1,46,qwen3-30b,6,11,27,0,93,43297
tobymao__sqlglot-899,0,0.022357,3326.9,58,qwen3-30b,6,12,37,5,117,19961
encode__starlette-1164,1,0.047452,6052.6,39,qwen3-30b,7,8,20,1,79,42368
lmfit__lmfit-py-487,1,0.035144,5229.8,46,qwen3-30b,6,13,25,10,93,31378
iterative__dvc-1603,0,0.061234,3644.9,100,qwen3-30b,15,42,36,4,201,54673
nosarthur__gita-241,1,0.061782,5014.8,80,qwen3-30b,11,25,33,3,161,55162
streamlink__streamlink-6048,0,0.056578,5612.9,66,qwen3-30b,9,8,44,6,133,50516
PyPSA__linopy-79,1,0.075627,6138.6,70,qwen3-30b,11,9,46,2,141,67524
python-cmd2__cmd2-666,0,0.074616,3331.1,70,qwen3-30b,20,13,31,3,141,66622
graphql-python__gql-359,0,0.064371,6386.0,64,qwen3-30b,9,22,29,14,129,57474
dask__dask-10454,0,0.059573,4432.5,71,qwen3-30b,12,19,37,2,143,53190
Parquery__icontract-112,0,0.09921,3054.5,100,qwen3-30b,29,27,40,30,201,88581
geopandas__geopandas-1698,0,0.054022,3445.3,80,qwen3-30b,14,23,38,4,161,48234
tobymao__sqlglot-749,0,0.046924,4655.2,62,qwen3-30b,9,17,33,6,125,41896
tobymao__sqlglot-3129,0,0.043009,1828.6,92,qwen3-30b,21,15,53,6,185,38401
florimondmanca__asgi-lifespan-18,0,0.056976,1453.5,100,qwen3-30b,35,23,39,24,201,50872
marshmallow-code__apispec-424,1,0.085959,3336.9,100,qwen3-30b,23,17,54,13,201,76749
hynek__structlog-221,0,0.051736,7698.9,51,qwen3-30b,6,14,27,3,103,46193
stfc__PSyclone-1101,1,0.055928,4161.3,100,qwen3-30b,12,33,53,17,201,49936
conan-io__conan-4303,0,0.048006,2255.9,95,qwen3-30b,19,24,48,9,191,42863
just-work__fffw-100,1,0.043221,9647.4,41,qwen3-30b,4,14,17,1,83,38590
wemake-services__wemake-python-styleguide-1916,0,0.075298,5171.5,69,qwen3-30b,13,24,29,7,139,67230
whatshap__whatshap-412,1,0.045427,5794.3,48,qwen3-30b,7,12,18,1,97,40560
bids-standard__pybids-836,1,0.070247,2986.7,82,qwen3-30b,21,20,38,6,165,62720
scrapinghub__web-poet-142,0,0.058363,7444.2,57,qwen3-30b,7,14,32,2,115,52110
warpnet__salt-lint-236,1,0.048504,2062.2,78,qwen3-30b,21,17,37,8,157,43307
tobymao__sqlglot-4459,0,0.026906,4804.7,59,qwen3-30b,5,15,35,1,119,24024
Turbo87__utm-31,1,0.028886,5158.2,29,qwen3-30b,5,9,10,3,59,25791
devopshq__artifactory-255,1,0.059163,4802.2,56,qwen3-30b,11,16,24,2,113,52824
yt-dlp__yt-dlp-12748,0,0.075811,4512.6,96,qwen3-30b,15,32,44,12,193,67688
sqlfluff__sqlfluff-6068,0,0.080578,4232.0,100,qwen3-30b,17,34,47,4,201,71944
cityofaustin__knackpy-110,1,0.079101,7062.6,58,qwen3-30b,10,14,30,2,117,70626
python-lsp__python-lsp-server-459,1,0.10476,4454.1,91,qwen3-30b,21,18,47,2,183,93536
tobymao__sqlglot-1238,0,0.049734,3171.8,87,qwen3-30b,14,19,49,8,175,44405
planetlabs__planet-client-python-816,0,0.070031,3473.8,89,qwen3-30b,18,33,31,7,179,62528
benmoran56__esper-81,0,0.058404,5794.0,55,qwen3-30b,9,13,24,0,111,52146
pdm-project__pdm-1518,0,0.058574,5810.9,73,qwen3-30b,9,29,32,4,147,52298
briancurtin__deprecation-14,0,0.031867,2371.0,53,qwen3-30b,12,20,16,1,107,28452
Dorthu__openapi3-30,1,0.039525,4411.2,46,qwen3-30b,8,10,24,4,93,35290
pandas-dev__pandas-61062,0,0.045375,5064.2,74,qwen3-30b,8,23,40,7,149,40514
docker__docker-py-1143,1,0.035951,4585.6,54,qwen3-30b,7,10,31,1,109,32099
tox-dev__tox-conda-161,0,0.059154,3521.1,61,qwen3-30b,15,19,23,10,123,52816
fsspec__filesystem_spec-1616,1,0.03905,3169.6,55,qwen3-30b,11,7,34,8,111,34866
nipreps__nibabies-395,0,0.027971,1783.9,51,qwen3-30b,14,11,22,1,103,24974
tefra__xsdata-905,0,0.088076,2912.6,100,qwen3-30b,27,27,44,8,201,78639
algorand__py-algorand-sdk-171,0,0.038573,4305.0,57,qwen3-30b,8,13,26,2,115,34440
qBraid__pyqasm-58,0,0.06933,3095.1,98,qwen3-30b,20,19,54,2,197,61902
ikamensh__flynt-163,1,0.067863,5508.3,85,qwen3-30b,11,28,42,1,171,60592
wemake-services__wemake-python-styleguide-1890,1,0.0819,4301.5,84,qwen3-30b,17,26,38,3,169,73125
aio-libs__yarl-1414,1,0.035075,4473.9,43,qwen3-30b,7,9,23,10,87,31317
oasis-open__cti-taxii-server-101,1,0.034793,4437.9,48,qwen3-30b,7,9,27,0,97,31066
pre-commit__pre-commit-622,1,0.047515,8484.9,52,qwen3-30b,5,15,29,5,105,42424
fitnr__visvalingamwyatt-6,1,0.04537,5063.6,38,qwen3-30b,8,7,18,1,77,40509
keis__base58-46,1,0.023775,7075.9,27,qwen3-30b,3,10,12,0,55,21228
chimpler__pyhocon-133,0,0.0516,11517.8,40,qwen3-30b,4,9,23,0,81,46071
mwouts__jupytext-582,0,0.063279,4708.3,76,qwen3-30b,12,16,44,3,153,56499
django__asgiref-471,1,0.046479,4611.0,51,qwen3-30b,9,11,26,7,103,41499
scrapinghub__scrapy-autounit-39,0,0.023302,2600.7,55,qwen3-30b,8,15,24,3,111,20805
fsspec__filesystem_spec-1245,0,0.081445,5194.2,86,qwen3-30b,14,10,58,4,173,72719
cekit__cekit-874,0,0.061762,2506.6,95,qwen3-30b,22,29,41,5,191,55144
ska-sa__fakenewsredis-3,0,0.064365,3192.7,81,qwen3-30b,18,21,38,5,163,57469
Dorthu__openapi3-75,0,0.062301,6180.6,56,qwen3-30b,9,19,24,10,113,55626
ansible__ansible-runner-1331,1,0.077816,4962.8,77,qwen3-30b,14,16,37,3,155,69479
psf__black-3451,0,0.057914,2350.4,91,qwen3-30b,22,15,50,6,183,51709
speedyturkey__porthole-44,0,0.052823,4287.6,61,qwen3-30b,11,17,29,4,123,47163
iterative__dvc-3836,0,0.053199,5937.4,66,qwen3-30b,8,20,29,7,133,47499
elastic__elasticsearch-dsl-py-1634,1,0.049016,10941.1,46,qwen3-30b,4,13,25,1,93,43764
conan-io__conan-3012,0,0.037448,2786.3,62,qwen3-30b,12,15,29,6,125,33436
jpadilla__pyjwt-670,1,0.039708,8863.4,38,qwen3-30b,4,10,20,3,77,35454
canonical__charmcraft-1745,0,0.076413,5248.1,100,qwen3-30b,13,33,50,9,201,68226
dropbox__pyannotate-83,1,0.072802,3250.1,85,qwen3-30b,20,17,40,2,171,65002
tobymao__sqlglot-2857,1,0.027933,3562.9,62,qwen3-30b,7,20,31,3,125,24940
juju__python-libjuju-475,1,0.065144,8309.1,70,qwen3-30b,7,17,41,3,141,58164
pypa__pip-12364,1,0.069075,3246.0,100,qwen3-30b,19,25,53,4,201,61674
pydicom__pydicom-500,1,0.070963,3727.0,64,qwen3-30b,17,13,29,2,129,63360
tobymao__sqlglot-1309,1,0.032626,3236.7,59,qwen3-30b,9,13,32,3,119,29130
encode__starlette-291,1,0.04533,5059.2,42,qwen3-30b,8,8,22,1,85,40473
elastic__elasticsearch-dsl-py-1634,1,0.05038,7497.1,54,qwen3-30b,6,14,30,1,109,44982
M0r13n__pyais-122,0,0.041688,6203.5,90,qwen3-30b,6,20,58,2,181,37221
canonical__charmcraft-866,1,0.052393,3898.3,51,qwen3-30b,12,10,20,1,103,46780
fastavro__fastavro-773,0,0.103031,4841.7,90,qwen3-30b,19,20,46,9,181,91992
ARMmbed__mbed-tools-293,1,0.048712,6213.3,60,qwen3-30b,7,13,31,0,121,43493
macports__upt-macports-18,1,0.027847,3551.9,50,qwen3-30b,7,20,20,1,101,24864
asottile__pyupgrade-650,0,0.070616,7881.3,80,qwen3-30b,8,17,51,8,161,63050
ResearchObject__ro-crate-py-170,1,0.063016,8037.8,52,qwen3-30b,7,14,28,2,105,56264
encode__httpx-2701,0,0.077595,7697.9,63,qwen3-30b,9,20,31,1,127,69282
jamesls__jmeslog-10,1,0.048462,4807.7,43,qwen3-30b,9,10,18,1,87,43270
CORE-GATECH-GROUP__serpent-tools-289,0,0.052698,6721.7,50,qwen3-30b,7,15,24,4,101,47052
asottile__pyupgrade-380,1,0.040224,5130.6,47,qwen3-30b,7,9,25,4,95,35914
googleapis__python-storage-418,1,0.068329,10168.0,64,qwen3-30b,6,21,33,22,129,61008
Deltares__pyflwdir-18,1,0.048068,3301.4,59,qwen3-30b,13,19,17,0,119,42918
zarr-developers__VirtualiZarr-206,0,0.07411,3482.6,93,qwen3-30b,19,34,37,5,187,66169
beetbox__beets-3085,1,0.044209,3947.2,66,qwen3-30b,10,20,31,2,133,39472
zopefoundation__Products.PluggableAuthService-60,1,0.053286,9515.3,60,qwen3-30b,5,12,38,8,121,47576
DakaraProject__dakara-base-16,0,0.054255,2549.6,74,qwen3-30b,19,13,40,10,149,48442
einsteinpy__einsteinpy-383,0,0.045039,10053.3,36,qwen3-30b,4,11,17,1,73,40213
TeamLEGWORK__LEGWORK-117,0,0.020261,3015.1,37,qwen3-30b,6,8,19,2,75,18090
facelessuser__wcmatch-45,1,0.047912,7129.8,50,qwen3-30b,6,23,17,4,101,42779
mozilla__bleach-692,0,0.05403,3445.8,100,qwen3-30b,14,25,57,3,201,48242
Pylons__colander-321,1,0.050395,8999.0,56,qwen3-30b,5,18,29,2,113,44995
ithaka__apiron-98,0,0.048056,3900.7,60,qwen3-30b,11,19,25,2,121,42907
asottile__dead-37,1,0.034361,2789.0,58,qwen3-30b,11,13,30,3,117,30680
aiogram__aiogram-1318,1,0.035994,4017.2,56,qwen3-30b,8,20,23,3,113,32138
steemit__tinman-166,0,0.0456,3701.3,72,qwen3-30b,11,17,33,5,145,40714
Azure__WALinuxAgent-2633,0,0.071509,5804.3,87,qwen3-30b,11,28,36,7,175,63848
pypa__hatch-1148,0,0.070168,5220.9,68,qwen3-30b,12,14,38,3,137,62650
twisted__incremental-95,0,0.051092,7603.0,48,qwen3-30b,6,6,33,1,97,45618
feder-observatory__stellarphot-297,1,0.050786,9069.0,38,qwen3-30b,5,9,19,2,77,45345
conan-io__conan-2952,0,0.066669,5411.4,68,qwen3-30b,11,24,29,2,137,59526
jackdewinter__pymarkdown-893,1,0.076251,4255.1,75,qwen3-30b,16,24,32,4,151,68082
acorg__seqgen-4,0,0.032603,2239.2,53,qwen3-30b,13,10,26,4,107,29110
dpkp__kafka-python-1312,0,0.064623,5769.9,64,qwen3-30b,10,20,31,8,129,57699
pydicom__pydicom-1931,0,0.052998,7886.5,36,qwen3-30b,6,9,17,1,73,47319
singingwolfboy__flask-dance-151,1,0.034311,5105.8,43,qwen3-30b,6,13,20,0,87,30634
viraptor__phply-37,0,0.109646,5438.8,77,qwen3-30b,18,11,46,35,155,97898
astanin__python-tabulate-76,1,0.039024,1340.1,80,qwen3-30b,26,15,36,6,161,34842
python-pillow__Pillow-4326,1,0.053583,4784.2,55,qwen3-30b,10,11,30,3,111,47842
tobymao__sqlglot-3436,0,0.05219,11649.6,100,qwen3-30b,4,29,59,0,201,46598
microsoft__pybryt-149,1,0.061772,4242.6,72,qwen3-30b,13,15,41,1,145,55154
streamlink__streamlink-6452,0,0.076902,4904.5,85,qwen3-30b,14,24,43,7,171,68662
TDAmeritrade__stumpy-583,1,0.052722,9414.6,58,qwen3-30b,5,24,26,1,117,47073
agronholm__anyio-772,0,0.066815,3139.8,83,qwen3-30b,19,17,44,4,167,59656
wandera__1password-client-16,1,0.046373,3450.4,53,qwen3-30b,12,15,22,7,107,41405
xonsh__xonsh-3272,0,0.047759,3280.1,68,qwen3-30b,13,18,32,3,137,42642
tobymao__sqlglot-1325,0,0.045809,3718.3,74,qwen3-30b,11,16,43,3,149,40901
ApptuitAI__apptuit-py-10,0,0.047001,5245.7,45,qwen3-30b,8,10,24,4,91,41966
singingwolfboy__flask-dance-151,1,0.03957,5888.5,44,qwen3-30b,6,13,20,0,89,35331
streamlink__streamlink-5782,0,0.082163,5240.0,71,qwen3-30b,14,15,38,3,143,73360
streamlink__streamlink-6381,0,0.108133,4827.4,79,qwen3-30b,20,19,36,15,159,96547
python-pillow__Pillow-6973,0,0.049654,2955.6,83,qwen3-30b,15,14,49,7,167,44334
CS-SI__eodag-480,0,0.049426,1838.8,100,qwen3-30b,24,26,48,3,201,44131
datalad__datalad-4575,1,0.02965,2941.5,49,qwen3-30b,9,7,29,2,99,26474
nltk__nltk-2888,0,0.023404,2612.0,51,qwen3-30b,8,11,27,4,103,20896
tobymao__sqlglot-3612,0,0.044831,8005.6,52,qwen3-30b,5,16,28,1,105,40028
simphony__simphony-remote-117,0,0.046637,5205.0,75,qwen3-30b,8,19,42,12,151,41640
tobymao__sqlglot-2127,0,0.053032,7891.7,69,qwen3-30b,6,15,44,1,139,47350
RockefellerArchiveCenter__DACSspace-51,0,0.033667,4294.2,59,qwen3-30b,7,21,28,1,119,30060
dask__dask-8801,0,0.057665,3217.9,68,qwen3-30b,16,24,25,2,137,51486
Textualize__textual-3152,0,0.084409,12560.8,55,qwen3-30b,6,18,27,1,111,75365
missionpinball__mpf-1104,0,0.078976,3711.3,83,qwen3-30b,19,22,40,1,167,70514
pvlib__pvanalytics-97,1,0.047211,8430.5,37,qwen3-30b,5,8,20,2,75,42152
narwhals-dev__narwhals-978,0,0.096667,7846.3,72,qwen3-30b,11,12,37,4,145,86310
dask__dask-11233,0,0.044901,1909.1,100,qwen3-30b,21,31,46,2,201,40090
zopefoundation__BTrees-56,1,0.055178,12316.5,37,qwen3-30b,4,11,18,3,75,49266
tobymao__sqlglot-4104,0,0.044323,2082.8,100,qwen3-30b,19,24,55,1,201,39574
beetbox__beets-4549,1,0.058515,4749.6,78,qwen3-30b,11,25,37,2,157,52246
asottile__setup-cfg-fmt-107,1,0.057695,10302.6,38,qwen3-30b,5,9,22,0,77,51513
dask__dask-5905,1,0.022895,6813.9,42,qwen3-30b,3,7,28,3,85,20442
cekit__cekit-516,0,0.062431,4287.8,67,qwen3-30b,13,12,38,4,135,55742
lightkurve__lightkurve-1426,0,0.050452,4504.6,51,qwen3-30b,10,9,28,2,103,45046
hynek__structlog-221,1,0.05613,6264.6,47,qwen3-30b,8,9,26,4,95,50116
nipy__nipype-2673,0,0.049365,2938.4,100,qwen3-30b,15,37,45,4,201,44076
rubik__radon-212,1,0.0499,5569.2,56,qwen3-30b,8,12,25,2,113,44554
GenericMappingTools__pygmt-619,0,0.067568,2320.3,98,qwen3-30b,26,20,48,1,197,60329
icetemple__genrss-11,0,0.049788,5556.8,52,qwen3-30b,8,15,23,1,105,44454
joke2k__faker-1043,1,0.027393,4891.6,45,qwen3-30b,5,9,25,1,91,24458
slarse__labelbot-26,0,0.04639,3451.7,61,qwen3-30b,12,19,26,0,123,41420
conan-io__conan-14709,1,0.061721,3061.5,74,qwen3-30b,18,15,37,14,149,55108
tianocore__edk2-pytool-library-365,1,0.048837,7267.4,40,qwen3-30b,6,8,17,0,81,43604
antirotor__speedcopy-6,1,0.022875,4084.8,32,qwen3-30b,5,10,12,0,65,20424
minrk__wurlitzer-89,1,0.039915,7127.6,35,qwen3-30b,5,9,14,0,71,35638
jd__tenacity-201,1,0.057167,8507.0,46,qwen3-30b,6,7,28,1,93,51042
numpy__numpydoc-347,1,0.049276,5499.6,47,qwen3-30b,8,12,23,6,95,43996
repobee__repobee-457,1,0.025025,3192.0,47,qwen3-30b,7,8,28,2,95,22344
fitbenchmarking__fitbenchmarking-1110,0,0.04755,3859.6,51,qwen3-30b,11,15,20,1,103,42456
narwhals-dev__narwhals-1613,0,0.044312,3043.4,51,qwen3-30b,13,9,25,1,103,39564
audeering__auglib-35,0,0.070964,6336.1,86,qwen3-30b,10,41,29,3,173,63361
hgrecco__pint-1476,1,0.045994,3733.3,74,qwen3-30b,11,18,42,3,149,41066
pytorch__ignite-1155,1,0.056959,5085.6,65,qwen3-30b,10,21,29,2,133,50856
keras-team__keras-nlp-504,0,0.067537,6700.1,62,qwen3-30b,9,10,32,1,125,60301
tobymao__sqlglot-4287,1,0.053739,2998.8,93,qwen3-30b,16,12,60,2,187,47981
tobymao__sqlglot-1548,0,0.043935,5603.9,88,qwen3-30b,7,21,56,6,177,39227
airspeed-velocity__asv-704,1,0.07684,3610.9,92,qwen3-30b,19,35,35,4,185,68607
MycroftAI__lingua-franca-32,0,0.061286,1710.0,100,qwen3-30b,32,23,43,2,201,54720
tinosulzer__PyBaMM-89,1,0.046198,3172.9,67,qwen3-30b,13,18,30,7,135,41248
conan-io__conan-12307,0,0.068414,4698.7,67,qwen3-30b,13,18,32,5,135,61084
RadioAstronomySoftwareGroup__pyuvdata-724,1,0.042915,9579.2,46,qwen3-30b,4,16,23,1,93,38317
iterative__dvc-1492,1,0.030992,3953.1,43,qwen3-30b,7,6,27,1,87,27672
stfc__PSyclone-1111,1,0.036437,3614.8,57,qwen3-30b,9,8,31,2,115,32533
duo-labs__parliament-185,1,0.037294,2561.4,65,qwen3-30b,13,19,30,0,131,33298
stfc__PSyclone-2309,0,0.059132,2199.8,100,qwen3-30b,24,21,53,12,201,52796
skypyproject__skypy-301,0,0.066547,2048.9,90,qwen3-30b,29,19,38,6,181,59417
zarr-developers__zarr-python-832,1,0.032145,4783.5,55,qwen3-30b,6,15,29,1,111,28701
Dorthu__openapi3-57,0,0.044229,3949.1,53,qwen3-30b,10,14,25,5,107,39490
feature-engine__feature_engine-339,0,0.051566,9208.2,40,qwen3-30b,5,14,18,5,81,46041
executablebooks__mdit-py-plugins-29,0,0.070359,2991.4,99,qwen3-30b,21,21,47,6,199,62820
robotframework__PythonLibCore-147,0,0.049015,14587.8,57,qwen3-30b,3,18,33,3,115,43764
tempoCollaboration__OQuPy-74,1,0.028088,3582.6,49,qwen3-30b,7,13,25,0,99,25078
Sage-Bionetworks__challengeutils-171,0,0.072089,6436.5,49,qwen3-30b,10,18,17,0,99,64365
python-pillow__Pillow-6253,0,0.034007,4337.7,63,qwen3-30b,7,11,40,12,127,30364
optuna__optuna-3319,0,0.078716,4392.6,95,qwen3-30b,16,31,44,3,191,70282
reframe-hpc__reframe-2533,1,0.062539,3284.6,90,qwen3-30b,17,28,42,5,181,55838
numba__numba-5176,1,0.070716,7015.5,85,qwen3-30b,9,28,44,11,171,63139
MaxGhenis__synthimpute-33,1,0.047171,10529.3,32,qwen3-30b,4,11,11,1,66,42117
Fatal1ty__mashumaro-220,1,0.058281,3469.1,73,qwen3-30b,15,19,36,4,147,52036
Textualize__textual-2530,1,0.044227,13162.9,43,qwen3-30b,3,11,25,2,87,39489
projectmesa__mesa-1439,1,0.057256,4260.1,74,qwen3-30b,12,15,43,2,149,51121
iterative__dvc-1992,0,0.093883,7620.4,65,qwen3-30b,11,21,30,3,131,83824
pdm-project__pdm-2886,0,0.059896,2814.6,87,qwen3-30b,19,15,48,10,175,53478
construct__construct-399,1,0.022771,2259.0,53,qwen3-30b,9,12,28,20,107,20331
conan-io__conan-14296,0,0.065566,4181.5,72,qwen3-30b,14,20,34,4,145,58542
hhursev__recipe-scrapers-591,1,0.075519,11238.0,52,qwen3-30b,6,14,28,2,105,67428
webscopeio__license.sh-46,1,0.027303,1434.0,61,qwen3-30b,17,14,25,4,123,24378
Textualize__textual-4736,1,0.048345,3320.4,74,qwen3-30b,13,16,43,2,149,43165
docker__docker-py-1167,1,0.040708,4038.4,48,qwen3-30b,9,14,21,4,97,36346
edgedb__edgedb-841,0,0.034379,2558.0,72,qwen3-30b,12,15,41,11,145,30696
google__flax-3731,0,0.03452,3852.7,57,qwen3-30b,8,19,27,1,115,30822
nhairs__python-json-logger-26,0,0.05276,6729.5,42,qwen3-30b,7,11,21,0,85,47107
python-pillow__Pillow-5615,0,0.047823,6099.8,40,qwen3-30b,7,9,20,3,81,42699
tobymao__sqlglot-3745,0,0.038728,8644.6,62,qwen3-30b,4,17,37,1,125,34578
GjjvdBurg__paper2remarkable-43,1,0.036499,2962.5,76,qwen3-30b,11,20,41,7,153,32588
pytorch__ignite-484,0,0.039781,2089.3,64,qwen3-30b,17,13,30,6,129,35518
wfondrie__mokapot-65,1,0.06132,6083.3,59,qwen3-30b,9,15,29,10,119,54750
mtgjson__mtgjson-1228,1,0.039568,3925.4,53,qwen3-30b,9,18,20,1,107,35328
yt-dlp__yt-dlp-12723,0,0.028891,2579.6,56,qwen3-30b,10,13,25,8,113,25796
dwavesystems__dwave-cloud-client-606,1,0.048194,7171.8,44,qwen3-30b,6,10,23,2,89,43030
thu-ml__tianshou-67,1,0.032151,4784.4,38,qwen3-30b,6,11,18,0,77,28706
dapr__python-sdk-692,0,0.036697,4095.6,57,qwen3-30b,8,10,30,2,115,32765
inducer__pycparserext-62,1,0.056421,3148.5,83,qwen3-30b,16,18,45,6,167,50376
pdm-project__pdm-3109,0,0.053704,4795.0,75,qwen3-30b,10,18,42,8,151,47950
LLNL__hatchet-39,0,0.107489,5051.2,100,qwen3-30b,19,25,50,2,201,95973
fitbenchmarking__fitbenchmarking-1336,0,0.061883,6906.6,55,qwen3-30b,8,17,25,0,111,55253
MatterMiners__lapis-69,0,0.052965,4299.1,65,qwen3-30b,11,20,31,10,131,47290
tensorflow__addons-2467,1,0.051862,3858.8,54,qwen3-30b,12,22,17,9,109,46306
codingjoe__relint-96,0,0.069869,3669.6,70,qwen3-30b,17,11,37,7,141,62383
PermutaTriangle__Tilings-191,0,0.078978,5424.3,80,qwen3-30b,13,20,42,14,161,70516
twisted__twisted-12324,0,0.035242,7866.4,38,qwen3-30b,4,7,24,12,77,31466
MGough__sensorhub-4,1,0.032515,4838.6,35,qwen3-30b,6,11,13,5,71,29032
tobymao__sqlglot-4148,0,0.047723,4261.0,72,qwen3-30b,10,21,37,1,145,42610
terrapower__armi-102,0,0.064866,2632.6,92,qwen3-30b,22,23,42,4,185,57916
iterative__dvc-5822,1,0.042564,2533.6,73,qwen3-30b,15,19,36,0,147,38004
openmc-dev__openmc-2977,0,0.048951,8741.2,50,qwen3-30b,5,11,31,5,101,43706
tobymao__sqlglot-3682,0,0.050953,2527.4,100,qwen3-30b,18,29,50,18,201,45494
wemake-services__wemake-python-styleguide-2500,1,0.065119,4153.0,59,qwen3-30b,14,15,27,5,119,58142
geopandas__geopandas-1279,0,0.048184,4780.1,80,qwen3-30b,9,17,48,3,161,43021
mkdocs__mkdocs-2852,1,0.044723,9982.8,39,qwen3-30b,4,17,15,1,79,39931
schuderer__mllaunchpad-148,1,0.05766,5148.2,53,qwen3-30b,10,13,26,2,107,51482
tobymao__sqlglot-2754,0,0.044609,3620.8,75,qwen3-30b,11,16,43,8,151,39829
PennyLaneAI__pennylane-4295,0,0.070466,3932.2,82,qwen3-30b,16,24,38,6,165,62916
typesafehub__conductr-cli-538,0,0.068845,3414.9,77,qwen3-30b,18,25,31,12,155,61469
iterative__dvc-3725,1,0.06582,3264.9,75,qwen3-30b,18,10,44,5,151,58768
IAMconsortium__pyam-772,0,0.066485,2968.1,100,qwen3-30b,20,26,36,4,201,59362
robotframework__SeleniumLibrary-1428,1,0.05965,7608.5,61,qwen3-30b,7,22,28,4,123,53259
softlayer__softlayer-python-905,0,0.076115,5227.7,91,qwen3-30b,13,27,46,5,183,67960
sdepy__sdepy-13,1,0.028434,2308.0,52,qwen3-30b,11,13,24,3,105,25388
networkx__networkx-7465,1,0.063618,4369.4,66,qwen3-30b,13,14,35,6,133,56802
UC-Davis-molecular-computing__scadnano-python-package-288,1,0.065816,14691.0,62,qwen3-30b,4,25,27,4,125,58764
larq__zookeeper-275,1,0.071027,3170.8,79,qwen3-30b,20,22,34,9,159,63417
peterbe__hashin-110,0,0.05626,12558.0,48,qwen3-30b,4,15,25,4,97,50232
miurahr__aqtinstall-550,1,0.052501,5859.4,51,qwen3-30b,8,12,28,4,103,46876
